date_gmt,open,high,low,close,volume
2022-05-11 17:30:00+00:00,1.05243,1.05271,1.05207,1.05208,1433029987.3351
2022-05-11 17:45:00+00:00,1.05206,1.05246,1.05151,1.05176,2553769989.0137005
2022-05-11 18:00:00+00:00,1.05177,1.05283,1.05177,1.05271,6181930007.934798
2022-05-11 18:15:00+00:00,1.05271,1.0533,1.0524,1.053,5177929977.4171
2022-05-11 18:30:00+00:00,1.05301,1.05357,1.05272,1.0534,5157430038.452101
2022-05-11 18:45:00+00:00,1.0534,1.05357,1.05268,1.05317,5480480072.021601
2022-05-11 19:00:00+00:00,1.05314,1.0532,1.05187,1.05223,7837290039.062401
2022-05-11 19:15:00+00:00,1.05223,1.0527,1.05192,1.05264,5971149948.1201
2022-05-11 19:30:00+00:00,1.05264,1.05269,1.05188,1.05192,4604150024.414101
2022-05-11 19:45:00+00:00,1.05192,1.05201,1.05141,1.05161,4198470016.4794
2022-05-11 20:00:00+00:00,1.0516,1.05162,1.05134,1.05136,1386149991.9891002
2022-05-11 20:15:00+00:00,1.05138,1.05139,1.05101,1.05116,1405130002.9755
2022-05-11 20:30:00+00:00,1.05116,1.05122,1.05107,1.05122,989319999.6949
2022-05-11 20:45:00+00:00,1.05121,1.0518,1.0512,1.05144,974269597.0535
2022-05-11 21:00:00+00:00,1.05147,1.05227,1.05131,1.05159,255029999.2561
2022-05-11 21:15:00+00:00,1.05157,1.05206,1.05132,1.05153,433489398.241
2022-05-11 21:30:00+00:00,1.05154,1.05181,1.05151,1.05179,403760000.2288
2022-05-11 21:45:00+00:00,1.0518,1.05181,1.05162,1.0518,239889997.7207
2022-05-11 22:00:00+00:00,1.05179,1.0518,1.0513,1.0513,1359042819.0233
2022-05-11 22:15:00+00:00,1.05133,1.05142,1.05124,1.0513,1246679981.2317998
2022-05-11 22:30:00+00:00,1.05131,1.05181,1.05131,1.05158,3145770019.5313005
2022-05-11 22:45:00+00:00,1.05158,1.05182,1.05132,1.05174,3561529968.2618
2022-05-11 23:00:00+00:00,1.05177,1.05186,1.05152,1.05155,955640002.2506
2022-05-11 23:15:00+00:00,1.05155,1.05163,1.05128,1.05129,857839988.7083999
2022-05-11 23:30:00+00:00,1.05129,1.05162,1.05129,1.05142,986429985.2846
2022-05-11 23:45:00+00:00,1.05144,1.05156,1.0511,1.05122,964300008.7738
2022-05-12 00:00:00+00:00,1.05121,1.05145,1.05093,1.05136,3638639968.8721
2022-05-12 00:15:00+00:00,1.05134,1.05187,1.05079,1.05175,6928239929.1991
2022-05-12 00:30:00+00:00,1.05176,1.05291,1.05158,1.05276,7228569946.289201
2022-05-12 00:45:00+00:00,1.05277,1.05277,1.05224,1.05245,8452709960.9376
2022-05-12 01:00:00+00:00,1.05246,1.05255,1.05195,1.05199,5691269973.755099
2022-05-12 01:15:00+00:00,1.05198,1.05259,1.05198,1.0524,5700360084.533601
2022-05-12 01:30:00+00:00,1.0524,1.05288,1.05217,1.05262,5545899963.378999
2022-05-12 01:45:00+00:00,1.05261,1.05291,1.05223,1.05236,5318279983.520599
2022-05-12 02:00:00+00:00,1.05235,1.05266,1.05217,1.05236,3242289978.0272
2022-05-12 02:15:00+00:00,1.05236,1.05296,1.05235,1.05275,2606060043.335
2022-05-12 02:30:00+00:00,1.05276,1.0528,1.0517,1.05174,4296409980.774
2022-05-12 02:45:00+00:00,1.05173,1.05189,1.05128,1.0516,4191050003.0518007
2022-05-12 03:00:00+00:00,1.0516,1.05204,1.05149,1.05159,4290830032.3486
2022-05-12 03:15:00+00:00,1.05157,1.05242,1.05154,1.05236,3402359970.0929003
2022-05-12 03:30:00+00:00,1.05236,1.0527,1.05224,1.05243,2943770019.5312004
2022-05-12 03:45:00+00:00,1.05243,1.0527,1.0522,1.05224,2265800025.9397
2022-05-12 04:00:00+00:00,1.05225,1.05259,1.05219,1.05245,1810019992.8283
